iteration,loss,train_acc,test_acc_eval,lr
1000,0.1567,0.9764,0.9688,0.010000
2000,0.0498,0.9932,0.9766,0.010000
3000,0.0241,0.9985,0.9783,0.010000
4000,0.0140,0.9997,0.9803,0.010000
5000,0.0105,1.0000,0.9805,0.010000
6000,0.0098,1.0000,0.9813,0.010000
7000,0.0049,1.0000,0.9818,0.010000
8000,0.0059,1.0000,0.9819,0.010000
9000,0.0017,1.0000,0.9819,0.010000
10000,0.0022,1.0000,0.9812,0.010000
11000,0.0024,1.0000,0.9814,0.010000
12000,0.0020,1.0000,0.9808,0.010000
13000,0.0017,1.0000,0.9804,0.010000
14000,0.0015,1.0000,0.9805,0.010000
15000,0.0015,1.0000,0.9811,0.010000
16000,0.0011,1.0000,0.9808,0.010000
17000,0.0011,1.0000,0.9803,0.010000
18000,0.0013,1.0000,0.9808,0.010000
19000,0.0010,1.0000,0.9814,0.010000
20000,0.0012,1.0000,0.9810,0.008000
21000,0.0008,1.0000,0.9809,0.008000
22000,0.0012,1.0000,0.9809,0.008000
23000,0.0009,1.0000,0.9811,0.008000
24000,0.0009,1.0000,0.9810,0.008000
25000,0.0012,1.0000,0.9808,0.008000
26000,0.0009,1.0000,0.9807,0.008000
27000,0.0006,1.0000,0.9811,0.008000
28000,0.0006,1.0000,0.9805,0.008000
29000,0.0010,1.0000,0.9805,0.008000
30000,0.0007,1.0000,0.9809,0.008000
31000,0.0010,1.0000,0.9812,0.008000
32000,0.0007,1.0000,0.9808,0.008000
33000,0.0011,1.0000,0.9807,0.008000
34000,0.0007,1.0000,0.9811,0.008000
35000,0.0008,1.0000,0.9809,0.008000
36000,0.0009,1.0000,0.9809,0.006400
37000,0.0008,1.0000,0.9808,0.006400
38000,0.0007,1.0000,0.9808,0.006400
39000,0.0007,1.0000,0.9810,0.006400
40000,0.0008,1.0000,0.9807,0.006400
41000,0.0007,1.0000,0.9806,0.006400
42000,0.0006,1.0000,0.9806,0.006400
43000,0.0009,1.0000,0.9806,0.006400
44000,0.0010,1.0000,0.9803,0.006400
45000,0.0006,1.0000,0.9803,0.006400
46000,0.0007,1.0000,0.9804,0.006400
47000,0.0006,1.0000,0.9805,0.006400
48000,0.0009,1.0000,0.9805,0.006400
49000,0.0005,1.0000,0.9806,0.006400
50000,0.0008,1.0000,0.9807,0.006400
