iteration,loss,train_acc,test_acc_eval,lr
1000,0.2180,0.8954,0.8904,0.010000
2000,0.1264,0.9333,0.9094,0.010000
3000,0.1497,0.9595,0.9227,0.010000
4000,0.0583,0.9733,0.9221,0.010000
5000,0.0303,0.9822,0.9258,0.010000
6000,0.0580,0.9899,0.9256,0.010000
7000,0.0349,0.9956,0.9274,0.010000
8000,0.0163,0.9961,0.9259,0.010000
9000,0.0178,0.9986,0.9268,0.010000
10000,0.0164,0.9993,0.9273,0.010000
11000,0.0092,0.9996,0.9255,0.010000
12000,0.0104,0.9998,0.9278,0.010000
13000,0.0086,0.9999,0.9253,0.010000
14000,0.0107,0.9999,0.9272,0.010000
15000,0.0065,1.0000,0.9273,0.010000
16000,0.0066,1.0000,0.9276,0.010000
17000,0.0065,1.0000,0.9281,0.010000
18000,0.0073,1.0000,0.9286,0.010000
19000,0.0043,1.0000,0.9285,0.010000
20000,0.0069,1.0000,0.9294,0.010000
21000,0.0067,1.0000,0.9295,0.010000
22000,0.0060,1.0000,0.9288,0.010000
23000,0.0037,1.0000,0.9295,0.010000
24000,0.0042,1.0000,0.9295,0.010000
25000,0.0035,1.0000,0.9308,0.010000
26000,0.0033,1.0000,0.9285,0.010000
27000,0.0039,1.0000,0.9295,0.010000
28000,0.0042,1.0000,0.9305,0.010000
29000,0.0036,1.0000,0.9307,0.010000
30000,0.0032,1.0000,0.9306,0.010000
31000,0.0039,1.0000,0.9306,0.010000
32000,0.0039,1.0000,0.9290,0.010000
33000,0.0026,1.0000,0.9303,0.010000
34000,0.0025,1.0000,0.9308,0.010000
35000,0.0033,1.0000,0.9297,0.010000
36000,0.0032,1.0000,0.9314,0.010000
37000,0.0032,1.0000,0.9308,0.010000
38000,0.0034,1.0000,0.9307,0.010000
39000,0.0040,1.0000,0.9304,0.010000
40000,0.0034,1.0000,0.9304,0.010000
41000,0.0033,1.0000,0.9301,0.010000
42000,0.0025,1.0000,0.9299,0.010000
43000,0.0018,1.0000,0.9307,0.010000
44000,0.0028,1.0000,0.9317,0.010000
45000,0.0024,1.0000,0.9310,0.010000
46000,0.0041,1.0000,0.9309,0.010000
47000,0.0026,1.0000,0.9304,0.010000
48000,0.0022,1.0000,0.9299,0.010000
49000,0.0031,1.0000,0.9306,0.010000
50000,0.0021,1.0000,0.9304,0.010000
