iteration,loss,train_acc,test_acc_eval,lr
1000,0.2536,0.9202,0.9207,0.010000
2000,0.1374,0.9401,0.9377,0.010000
3000,0.1853,0.9583,0.9542,0.010000
4000,0.2397,0.9645,0.9599,0.010000
5000,0.0692,0.9699,0.9607,0.010000
6000,0.0930,0.9751,0.9634,0.010000
7000,0.1142,0.9766,0.9659,0.010000
8000,0.0612,0.9798,0.9653,0.010000
9000,0.0484,0.9817,0.9680,0.010000
10000,0.0591,0.9819,0.9673,0.010000
11000,0.0818,0.9832,0.9686,0.010000
12000,0.0624,0.9845,0.9692,0.010000
13000,0.0419,0.9872,0.9709,0.010000
14000,0.0679,0.9877,0.9714,0.010000
15000,0.0739,0.9883,0.9710,0.010000
16000,0.0639,0.9894,0.9713,0.010000
17000,0.0352,0.9898,0.9701,0.010000
18000,0.0409,0.9901,0.9698,0.010000
19000,0.0696,0.9909,0.9696,0.010000
20000,0.0598,0.9905,0.9698,0.010000
21000,0.0481,0.9911,0.9697,0.010000
22000,0.0294,0.9917,0.9702,0.010000
23000,0.0352,0.9916,0.9707,0.010000
24000,0.0307,0.9923,0.9705,0.010000
25000,0.0338,0.9925,0.9701,0.010000
26000,0.0626,0.9924,0.9702,0.008000
27000,0.0336,0.9924,0.9702,0.008000
28000,0.0805,0.9930,0.9703,0.008000
29000,0.0491,0.9929,0.9715,0.008000
30000,0.0461,0.9931,0.9711,0.008000
31000,0.0387,0.9930,0.9701,0.008000
32000,0.0319,0.9932,0.9699,0.008000
33000,0.0588,0.9932,0.9700,0.008000
34000,0.0390,0.9928,0.9698,0.008000
35000,0.0345,0.9927,0.9707,0.008000
36000,0.0629,0.9934,0.9713,0.008000
37000,0.0376,0.9934,0.9702,0.008000
38000,0.0401,0.9935,0.9715,0.008000
39000,0.0479,0.9935,0.9710,0.008000
40000,0.0473,0.9938,0.9717,0.008000
41000,0.0418,0.9937,0.9714,0.008000
42000,0.0177,0.9938,0.9711,0.008000
43000,0.0572,0.9940,0.9714,0.008000
44000,0.0344,0.9941,0.9709,0.008000
45000,0.0302,0.9942,0.9710,0.008000
46000,0.0309,0.9943,0.9709,0.008000
47000,0.0381,0.9941,0.9698,0.008000
48000,0.0385,0.9944,0.9697,0.008000
49000,0.0384,0.9944,0.9711,0.008000
50000,0.0409,0.9947,0.9712,0.008000
