iteration,loss,train_acc,test_acc_eval,lr
1000,0.4165,0.8438,0.8448,0.010000
2000,0.2976,0.8889,0.8840,0.010000
3000,0.2404,0.9048,0.8981,0.010000
4000,0.2881,0.9056,0.8972,0.010000
5000,0.1422,0.9144,0.8996,0.010000
6000,0.2184,0.9264,0.9096,0.010000
7000,0.2453,0.9305,0.9078,0.010000
8000,0.1411,0.9304,0.9068,0.010000
9000,0.1498,0.9395,0.9143,0.010000
10000,0.1306,0.9379,0.9111,0.010000
11000,0.1288,0.9427,0.9120,0.010000
12000,0.1889,0.9467,0.9150,0.010000
13000,0.1213,0.9506,0.9167,0.010000
14000,0.1830,0.9545,0.9203,0.010000
15000,0.1281,0.9532,0.9184,0.010000
16000,0.1360,0.9568,0.9210,0.010000
17000,0.1585,0.9587,0.9221,0.010000
18000,0.2170,0.9598,0.9210,0.010000
19000,0.0954,0.9597,0.9200,0.010000
20000,0.0949,0.9614,0.9213,0.010000
21000,0.1202,0.9629,0.9216,0.010000
22000,0.1113,0.9628,0.9211,0.010000
23000,0.0825,0.9625,0.9177,0.010000
24000,0.1045,0.9647,0.9211,0.010000
25000,0.0859,0.9665,0.9219,0.010000
26000,0.0694,0.9663,0.9235,0.010000
27000,0.1904,0.9669,0.9199,0.010000
28000,0.0691,0.9676,0.9216,0.010000
29000,0.0999,0.9684,0.9203,0.010000
30000,0.1031,0.9678,0.9183,0.010000
31000,0.1000,0.9681,0.9225,0.010000
32000,0.1090,0.9693,0.9200,0.010000
33000,0.1387,0.9685,0.9204,0.010000
34000,0.1336,0.9698,0.9205,0.010000
35000,0.1458,0.9695,0.9216,0.010000
36000,0.1049,0.9697,0.9213,0.010000
37000,0.1089,0.9698,0.9217,0.010000
38000,0.0762,0.9696,0.9218,0.008000
39000,0.1270,0.9698,0.9212,0.008000
40000,0.0912,0.9705,0.9218,0.008000
