iteration,loss,train_acc,test_acc_eval,lr
1000,0.2029,0.9218,0.9203,0.010000
2000,0.2054,0.9477,0.9456,0.010000
3000,0.1183,0.9599,0.9546,0.010000
4000,0.0699,0.9713,0.9626,0.010000
5000,0.0608,0.9779,0.9645,0.010000
6000,0.1167,0.9794,0.9664,0.010000
7000,0.0963,0.9849,0.9711,0.010000
8000,0.0291,0.9871,0.9707,0.010000
9000,0.0583,0.9905,0.9720,0.010000
10000,0.0275,0.9917,0.9728,0.010000
11000,0.0326,0.9930,0.9718,0.010000
12000,0.0283,0.9940,0.9735,0.010000
13000,0.0509,0.9945,0.9727,0.010000
14000,0.0268,0.9955,0.9722,0.010000
15000,0.0432,0.9960,0.9739,0.010000
16000,0.0324,0.9959,0.9746,0.010000
17000,0.0521,0.9960,0.9748,0.010000
18000,0.0281,0.9963,0.9741,0.010000
19000,0.0265,0.9968,0.9743,0.010000
20000,0.0137,0.9968,0.9746,0.010000
21000,0.0442,0.9975,0.9741,0.010000
22000,0.0186,0.9976,0.9753,0.010000
23000,0.0174,0.9980,0.9749,0.010000
24000,0.0355,0.9982,0.9745,0.010000
25000,0.0254,0.9982,0.9744,0.010000
26000,0.0148,0.9985,0.9753,0.010000
27000,0.0311,0.9983,0.9752,0.010000
28000,0.0157,0.9981,0.9748,0.010000
29000,0.0223,0.9983,0.9750,0.010000
30000,0.0219,0.9985,0.9749,0.010000
31000,0.0316,0.9985,0.9744,0.010000
32000,0.0194,0.9986,0.9743,0.010000
33000,0.0115,0.9987,0.9737,0.010000
34000,0.0272,0.9987,0.9744,0.008000
35000,0.0139,0.9985,0.9742,0.008000
36000,0.0246,0.9987,0.9746,0.008000
37000,0.0167,0.9988,0.9740,0.008000
38000,0.0297,0.9987,0.9742,0.008000
39000,0.0156,0.9986,0.9746,0.008000
40000,0.0461,0.9988,0.9739,0.008000
41000,0.0282,0.9988,0.9746,0.008000
42000,0.0227,0.9988,0.9738,0.008000
43000,0.0245,0.9989,0.9745,0.008000
44000,0.0157,0.9989,0.9739,0.008000
45000,0.0240,0.9988,0.9739,0.008000
46000,0.0122,0.9989,0.9739,0.008000
47000,0.0157,0.9991,0.9745,0.008000
48000,0.0158,0.9989,0.9742,0.008000
49000,0.0180,0.9990,0.9740,0.008000
50000,0.0122,0.9990,0.9742,0.006400
