iteration,loss,train_acc,test_acc_eval,lr
1000,0.1613,0.9308,0.9068,0.010000
2000,0.1336,0.9372,0.9113,0.010000
3000,0.2515,0.9393,0.9097,0.010000
4000,0.1269,0.9401,0.9117,0.010000
5000,0.1958,0.9415,0.9130,0.010000
6000,0.1756,0.9443,0.9150,0.010000
7000,0.1584,0.9456,0.9128,0.010000
8000,0.2126,0.9470,0.9152,0.010000
9000,0.1581,0.9476,0.9147,0.010000
10000,0.1421,0.9476,0.9163,0.010000
11000,0.2590,0.9499,0.9159,0.010000
12000,0.1780,0.9502,0.9151,0.010000
13000,0.0680,0.9490,0.9153,0.010000
14000,0.1161,0.9506,0.9166,0.010000
15000,0.1340,0.9511,0.9160,0.010000
16000,0.1507,0.9514,0.9168,0.010000
17000,0.1234,0.9532,0.9173,0.010000
18000,0.1393,0.9534,0.9167,0.010000
19000,0.1282,0.9542,0.9173,0.010000
20000,0.1289,0.9523,0.9164,0.010000
21000,0.1984,0.9536,0.9190,0.010000
22000,0.1146,0.9528,0.9165,0.010000
23000,0.1886,0.9551,0.9184,0.010000
24000,0.1639,0.9554,0.9177,0.010000
25000,0.1307,0.9553,0.9182,0.010000
26000,0.1193,0.9546,0.9185,0.010000
27000,0.2038,0.9558,0.9199,0.010000
28000,0.1441,0.9552,0.9197,0.010000
29000,0.1455,0.9568,0.9203,0.010000
30000,0.1282,0.9568,0.9188,0.010000
31000,0.1317,0.9567,0.9188,0.010000
32000,0.1475,0.9561,0.9198,0.010000
33000,0.1303,0.9571,0.9182,0.010000
34000,0.1804,0.9574,0.9184,0.010000
35000,0.1722,0.9575,0.9182,0.010000
36000,0.1190,0.9572,0.9200,0.010000
37000,0.2012,0.9574,0.9200,0.010000
38000,0.1413,0.9566,0.9180,0.010000
39000,0.1830,0.9567,0.9182,0.010000
40000,0.1116,0.9575,0.9201,0.010000
