iteration,loss,train_acc,test_acc_eval,lr
1000,0.2229,0.9319,0.9337,0.010000
2000,0.0868,0.9568,0.9522,0.010000
3000,0.1672,0.9682,0.9586,0.010000
4000,0.1099,0.9763,0.9624,0.010000
5000,0.0812,0.9820,0.9664,0.010000
6000,0.0537,0.9850,0.9684,0.010000
7000,0.0450,0.9888,0.9691,0.010000
8000,0.0280,0.9904,0.9694,0.010000
9000,0.0414,0.9927,0.9697,0.010000
10000,0.0288,0.9946,0.9710,0.010000
11000,0.0378,0.9954,0.9718,0.010000
12000,0.0476,0.9962,0.9719,0.010000
13000,0.0250,0.9972,0.9731,0.010000
14000,0.0210,0.9977,0.9738,0.010000
15000,0.0180,0.9983,0.9729,0.010000
16000,0.0237,0.9985,0.9744,0.010000
17000,0.0273,0.9987,0.9734,0.010000
18000,0.0199,0.9990,0.9736,0.010000
19000,0.0178,0.9991,0.9740,0.010000
20000,0.0213,0.9993,0.9741,0.010000
21000,0.0157,0.9994,0.9748,0.010000
22000,0.0152,0.9992,0.9744,0.010000
23000,0.0176,0.9996,0.9758,0.010000
24000,0.0129,0.9996,0.9745,0.010000
25000,0.0152,0.9996,0.9738,0.010000
26000,0.0180,0.9996,0.9748,0.010000
27000,0.0102,0.9997,0.9746,0.010000
28000,0.0203,0.9997,0.9747,0.010000
29000,0.0100,0.9997,0.9750,0.010000
30000,0.0182,0.9997,0.9751,0.010000
31000,0.0157,0.9996,0.9761,0.010000
32000,0.0095,0.9995,0.9757,0.010000
33000,0.0090,0.9997,0.9761,0.010000
34000,0.0121,0.9996,0.9754,0.010000
35000,0.0114,0.9997,0.9749,0.010000
36000,0.0122,0.9996,0.9755,0.010000
37000,0.0159,0.9998,0.9751,0.010000
38000,0.0130,0.9998,0.9757,0.010000
39000,0.0082,0.9997,0.9756,0.010000
40000,0.0099,0.9998,0.9750,0.010000
41000,0.0054,0.9998,0.9755,0.010000
42000,0.0087,0.9998,0.9754,0.010000
43000,0.0102,0.9998,0.9760,0.008000
44000,0.0099,0.9998,0.9758,0.008000
45000,0.0112,0.9999,0.9752,0.008000
46000,0.0174,0.9999,0.9756,0.008000
47000,0.0120,0.9998,0.9765,0.008000
48000,0.0059,0.9999,0.9758,0.008000
49000,0.0147,0.9999,0.9756,0.008000
50000,0.0113,0.9999,0.9757,0.008000
